Text,Datetime,Location,Hashtags,polarity,subjectivity
dlaminizuma support free state anc picks nkosazana dlaminizuma president ndz17 vote ret supportret education employment stopcorruption development growth newage,17:11:29 12:14:11,South Africa,"['DlaminiZuma', 'ANC', 'DlaminiZuma', 'NDZ17', 'Vote', 'RET', 'SupportRET', 'Education', 'Employment', 'StopCorruption', 'Development', 'Growth']",0.4,0.8
remember support fantastic work vote continue progress dont corruption return anc,17:12:31 05:49:18,South Africa,['ANC'],0.4,0.9
well done 2 opposition well done 2 courageous anc members voted corruption special congratulations 2 eff,17:08:09 05:58:31,South Africa,"['ANC', 'Corruption', 'EFF']",0.35714285714285715,0.5714285714285714
well done 2 opposition forces well done 2 courageous anc members voted corruption special congratulations 2 eff,17:08:09 05:55:10,South Africa,"['ANC', 'Corruption', 'EFF']",0.35714285714285715,0.5714285714285714
vote get govt elect get involved politics whichever possible 2019elections make break note 2019 corruption watch anc led govt robbing us future roadto2019,17:11:25 07:15:33,Cape Town,"['2019Elections', 'Corruption', 'ANC', 'Roadto2019']",0.26666666666666666,0.6749999999999999
ancs electoral procedures jurassic era open corruption manipulation suits zuma dynasty able steal election 1 member 1 vote via secured hello,17:12:15 05:05:13,South Africa,"['ANC', 'Zuma']",0.25,0.5625
anc corruption statecapture looting junkstatus recession decreasedrandvalue joblosses poverty crime voted anc zuma blame much,17:12:13 12:25:40,South Africa,"['ANC', 'CORRUPTION', 'StateCapture', 'looting', 'junkstatus', 'recession', 'DecreasedRANDValue', 'joblosses', 'Poverty', 'Crime', 'ANC', 'ZUMA']",0.2,0.2
anc54 failure self correction senzomchunu secretary general position 68missingvotes scandal evident enough clean good corrupt anc anc loves enjoy corruption deserves better come 2019 amlive,17:12:21 05:08:32,"Durban, South Africa","['ANC54', 'SenzoMchunu', '68MissingVotes', 'ANC', 'ANC', 'AMLive']",0.1611111111111111,0.5388888888888889
rural voting fodder knows anc brought sassa free dom care less real issues like corruption guptaleaks pres zuma etc,17:11:13 08:34:26,"MIDRAND,SOUTH AFRICA","['ANC', 'SASSA', 'corruption', 'guptaleaks', 'Zuma']",0.10833333333333334,0.2916666666666667
da trollip says took action allegations corruption bobani vote confidence,17:08:29 11:59:24,Midrand,['DA'],0.1,0.1
smalema made clear eff never vote corruption theres support madness,17:11:29 08:02:14,"Willowvale, South Africa",['EFF'],0.10000000000000002,0.3833333333333333
reality anc elections ndz victory corruption spreads rt ready ret dlaminizuma 1st female president savesa sm gp,17:12:06 12:13:40,"Johannesburg, South Africa","['ANC', 'NDZ', 'Corruption', 'RET', 'DlaminiZuma']",0.1,0.3333333333333333
ancconference2017 election system disenfranchises branch democratic rights mandated branch delegates influenced lobbying bribery vote differently sums anc corruption much democracyblatant stealing,17:12:17 18:19:49,Cape Town,"['ANCConference2017', 'ANC', 'RSA']",0.1,0.4
isnt anc scheduling vote confidence zuma enough evidence state capture nothing enabling corruption last chance right thing anc,17:11:22 13:47:33,"Johannesburg, South Africa","['ANC', 'Zuma']",0.09523809523809523,0.3674603174603175
vote anc possibly even eff enabling continuation corruption jacquesoneusebius thepresidentskeepers,17:11:07 09:34:12,"Port Elizabeth, South Africa","['ANC', 'EFF', 'JacquesOnEusebius', 'ThePresidentsKeepers']",0.0,1.0
people jimmy voted da eff representatives parties realized anc involved corruption self enrichment programs therefore made call viva democracy viva,17:12:01 06:18:35,"Cape Town, South Africa","['DA', 'EFF', 'ANC', 'CORRUPTION', 'democracy']",0.0,0.0
people jimmy voted da eff representatives parties realized anc involved corruption self enrichment programs therefore made call viva democracy viva,17:12:01 06:15:39,"Cape Town, South Africa","['DA', 'EFF', 'ANC', 'CORRUPTION', 'democracy']",0.0,0.0
eff leader juliusmalema says vote confidence jacob zuma opportunity anc mps take stand corruption,17:08:08 07:36:57,"Bloemfontein, South Africa","['EFF', 'ANC']",0.0,0.0
guptas zuma owns captured corruption statecapture junkstatus well done 2 parties voted 4 yes eff u,17:06:20 07:24:20,South Africa,"['Guptas', 'ZUMA', 'Captured', 'CORRUPTION', 'StateCapture', 'junkstatus', 'EFF']",0.0,0.0
anc going rig votes favour ndz watch space anccorruption,17:12:07 06:41:00,"Centurion, South Africa",['ANC'],0.0,0.0
well said lets hope people show discontent anc voting come 2019 timewilltell ancfailures ancorruption ancmustfall,17:12:01 14:34:34,South Africa,"['ANC', 'timewilltell', 'ANCFailures', 'ANCorruption', 'ANCMustFall']",0.0,0.0
people jimmy voted da eff representatives parties realized anc involved corruption self enrichment programs therefore made call viva democracy viva,17:12:01 06:18:35,"Cape Town, South Africa","['DA', 'EFF', 'ANC', 'CORRUPTION', 'democracy']",0.0,0.0
votebuying corruption crooked anc zumaanc,17:12:13 05:52:18,pretoria,"['votebuying', 'corruption', 'crooked', 'anc', 'zumaANC']",0.0,0.1
people jimmy voted da eff representatives parties realized anc involved corruption self enrichment programs therefore made call viva democracy viva,17:12:01 06:15:39,"Cape Town, South Africa","['DA', 'EFF', 'ANC', 'CORRUPTION', 'democracy']",0.0,0.0
mpumalanga anc voters fed corruption party province,17:11:16 16:55:11,South Africa,"['Mpumalanga', 'ANC']",0.0,0.0
mpumalanga anc voters fed corruption party province affect nominate december2017 electiveconference,17:11:16 13:11:32,South Africa,"['Mpumalanga', 'ANC', 'december2017', 'electiveconference']",0.0,0.0
da wake dont vote cause agree enough anc corruption wanted take away public purse anc make sense,17:11:25 07:53:28,South Africa,['ANC'],0.0,0.2833333333333333
branch voting open corruption intimidation provincial barons manipulating numbers gupta zuma mafia stooges stealing election conference anc jurassic park,17:12:21 03:45:29,South Africa,"['Gupta', 'Zuma', 'ANC']",0.0,0.5
challenges facing anc leadership 1 unity 2 2019 elections 3 implementing ret 4 addressing structural inequalities poverty unemployment 5 ratings downgrade 6 funding freeeducation 7 inclusive growth quality jobs 8 corruption 9 soe,17:12:17 23:30:52,South Africa,"['ANC', 'RET', 'FreeEducation']",0.0,0.0
breaking news anc spokesman zizi kodwa advises anc members take money still vote conscience ancvotes ancconference votebuying bribery corruption ancconference2017,17:12:18 00:18:43,South Africa,"['ANC', 'ANCVotes', 'ANCConference', 'VoteBuying', 'Bribery', 'Corruption', 'ANCConference2017']",0.0,0.0
people jimmy voted da eff representatives parties realized anc involved corruption self enrichment programs therefore made call viva democracy viva,17:12:01 06:18:35,"Cape Town, South Africa","['DA', 'EFF', 'ANC', 'CORRUPTION', 'democracy']",0.0,0.0
people jimmy voted da eff representatives parties realized anc involved corruption self enrichment programs therefore made call viva democracy viva,17:12:01 06:15:39,"Cape Town, South Africa","['DA', 'EFF', 'ANC', 'CORRUPTION', 'democracy']",0.0,0.0
udm vote anc nmb according da eish corruption zumamustfall,17:08:28 06:12:32,South Africa,"['UDM', 'ANC', 'DA', 'Corruption', 'Zumamustfall']",0.0,0.0
da maimane says president zuma surviving mps voted survival favour corruption,17:08:09 10:16:59,"Johannesburg, South Africa",['DA'],0.0,0.0
whites screaming corruption jus 2 steer us voting da da rules resume ageless corruption scandal,17:08:26 14:19:02,"Johannesburg, South Africa","['CORRUPTION', 'DA']",0.0,0.0
voted supported anc inadvertently supported corruption presidentskeepers jacquespauw,17:11:07 11:22:21,"Port Elizabeth, South Africa","['ANC', 'PresidentsKeepers', 'JacquesPauw']",0.0,0.0
vote anc possibly even eff enabling continuation corruption jacquesoneusebius thepresidentskeepers,17:11:07 09:34:12,"Port Elizabeth, South Africa","['ANC', 'EFF', 'JacquesOnEusebius', 'ThePresidentsKeepers']",0.0,1.0
seems stop nuclear corruption deal vote anc power,17:11:03 10:42:09,South Africa,['ANC'],0.0,0.0
know corrupt anc decided 2 need 2 get ids 2 rural areas dont know corruption 2 secure 2019 votes,17:10:27 07:34:32,South Africa,"['CORRUPT', 'ANC', 'CORRUPTION']",-0.033333333333333326,0.5333333333333333
ndz anc thinking u fools going 2 mention white get attention get vote saying make poor black people rich wealth actually go zuma family friends guptas russia china elected voteforndz vote4corruption,17:11:10 06:50:03,South Africa,"['NDZ', 'ANC', 'Zuma', 'Guptas', 'Russia', 'China', 'VoteforNDZ', 'Vote4CORRUPTION']",-0.03833333333333333,0.37666666666666665
anc anc54 make simple ruling missing 68 votes issues drags thats anc cannot decisive corruption many guilty,17:12:20 16:40:39,Cape Town,"['ANC', 'ANC54', 'ANC', 'Corruption']",-0.05,0.47678571428571426
anc goes 2019 national elections two centres power zuma head government ramaphosa head partyanc remain paralysed little progress made turning around public services cleaning soes tackling corruption,17:12:25 20:47:26,Johannesburg,['ANC'],-0.09375,0.2833333333333333
wants disintegrate anc ally da ascend throne ramaphosa incessantly defaming wmc propaganda hide whitecorruption behind novoteramaphosa savesa,17:11:09 10:27:08,South Africa,"['ANC', 'Ramaphosa', 'WMc', 'Whitecorruption', 'novoteramaphosa']",-0.10000000000000002,0.3
anc promises sans heaven earth rooting corruption yet failed deal one smallanyana scandal 68missingvotes look nec54 expect us take seriously oh please anc respect us toe deserve better amlive,17:12:21 06:19:41,"Durban, South Africa","['ANC', '68MissingVotes', 'NEC54', 'ANC', 'AMLive']",-0.11111111111111109,0.4888888888888889
past cannot denied last twenty years also made dismal mark history rather focus blame race call anc mps account use vote 2019 make mark call change nomorecorruption,17:12:01 05:53:53,South Africa,"['ANC', 'NoMoreCorruption']",-0.125,0.15833333333333333
tokyosexwale anc dont take us seriously comes fighting corruption justify election corrupt thug acemagashule clean senzomchunu ace gave guptas r30m tax money wedding yet today anctop6 amlive,17:12:19 06:04:40,"Durban, South Africa","['ANC', 'AceMagashule', 'SenzoMchunu', 'Ace', 'Guptas', 'ANCTop6', 'AMLive']",-0.15555555555555553,0.7888888888888889
2019 elections time thank eff udm da votes little theyve done fight expose anc corruption guptas,17:06:12 18:56:12,"Mpumalanga, South Africa","['EFF', 'UDM', 'DA', 'ANC', 'Guptas']",-0.1875,0.5
ever doubted anc loose power 2019 doubt universe guiding reflect deeply top6 selection corrupt acemagashule senzomchunu anc corruptions cousins amlive,17:12:19 05:16:07,"Durban, South Africa","['ANC', 'AceMagashule', 'SenzoMchunu', 'ANC', 'AMLive']",-0.1923076923076923,0.5564102564102564
ancmustfall zumasmustfall corruptionmustfall lootingmustfall wakeupsa zumas destroying country keep letting get away letting blame wmc laughing voters u r fool u vote anc zumas,17:11:13 07:58:37,South Africa,"['ANCmustFALL', 'ZumaSmustFALL', 'CorruptionMustFall', 'LootingMustFALL', 'WakeUpSA', 'Zumas', 'DESTROYING', 'WMC', 'laughing', 'ANC', 'Zumas']",-0.2,0.0
watching pulling anc teeth election set corruption horse trading run strongmen room ordinary members,17:10:30 03:53:45,South Africa,['ANC'],-0.25,0.5
anc hope matter gets votes dwindle theyhavenotfoundafix4internalstriveandcorruption may become small minority soon,17:12:03 07:40:09,South Africa,"['ANC', 'TheyHaveNotFoundAFix4InternalStriveAndCorruption']",-0.25,0.4
sad govt care sanitation limpopo full corruption politicians dont care poor sadly people vote anc,17:11:22 16:32:09,"Johannesburg, South Africa",['ANC'],-0.2625,0.7875
cyrilramaphosa president doesnt mean im going vote anc54 come national elections time yall hurt np da yall traitors ate zuma became fort zerocorruption makeancgreatagain,17:12:19 08:00:26,"Johannesburg, South Africa","['CyrilRamaphosa', 'president', 'ANC54', 'DA', 'Zuma', 'ZeroCorruption', 'MakeANCgreatagain']",-0.3125,0.6875
thiscorruption shud b cut tail branches head anc serious self correct n masses tht voted fr,17:11:30 09:21:40,"Johannesburg, Alexander ","['ANC', 'Voted']",-0.3333333333333333,0.6666666666666666
corrupt captured zumas anc must fall stealing poor wasting sans hard earned money change2019 voteda savesa ancmustfall zumasmustfall guptasmustfall corruptionmustfall nuclearmustfall poverty joblosses crime junkstatus,17:12:01 08:10:51,South Africa,"['CORRUPT', 'Captured', 'ZumaS', 'ANC', 'Stealing', 'Poor', 'SAns', 'Change2019', 'VoteDA', 'SaveSA', 'ANCmustFALL', 'ZumaSmustFALL', 'GuptasMustFall', 'CorruptionMustFall', 'NuclearMustFall', 'poverty', 'Joblosses', 'crime', 'junkstatus']",-0.3972222222222222,0.7138888888888889
ramaphosa lead anc lose 2019 elections agenda except loot corruption ndz agenda ret freeeducation upliftment natives poor vote ndz womanizer anc54,17:12:21 06:52:32,"Johannesburg, South Africa","['Ramaphosa', 'ANC', 'NDZ', 'RET', 'FreeEducation', 'ANC54']",-0.4,0.6
ramaphosa lead anc lose 2019 elections agenda except loot corruption ndz agenda ret freeeducation upliftment natives poor vote ndz womanizer anc54 wierzycka,17:12:21 08:28:19,"Johannesburg, South Africa","['Ramaphosa', 'ANC', 'NDZ', 'RET', 'FreeEducation', 'ANC54']",-0.4,0.6
jobe corruption whoever pays higher win votes cry beloved country anc,22:11:23 15:24:37,South Africa,"['corruption', 'ANC']",0.5833333333333334,0.6333333333333333
siwela citizen cartoon ramaphosa anc corruption phalaphala loadshedding statecapture servicedelivery costoflivingcrisis election2024,22:11:17 14:40:00,"Bellville, South Africa","['cartoon', 'Ramaphosa', 'ANC', 'corruption', 'PhalaPhala', 'loadshedding', 'statecapture', 'servicedelivery', 'CostOfLivingCrisis', 'election2024']",0.0,0.0
mr anc voters complaining couple pot holes corruption,22:11:12 08:29:39,"Cape Town, South Africa",['ANC'],0.0,0.0
vote actionsa whole heart anc failed rule destroyed country theft budgets corruption municipality govern beneficiaries corruption vote anc,22:11:08 18:17:24,Johannesburg,"['ActionSA', 'ANC']",-0.15,0.35
da would also help stop corruption savoters would stop voting anc allies form politicalcoalitions enable get back power eff patrioticalliance ifp actionsa etc,22:10:18 08:59:43,"Cape Town, South Africa","['corruption', 'SAVoters', 'ANC', 'PoliticalCoalitions', 'EFF', 'PatrioticAlliance', 'IFP', 'ActionSA']",0.0,0.0
anc corrupt evil cadredeploying whywouldanyonevoteforthem bunch crooks n hmmm yes corruption twoway street big winners end pipeline yes gupta yes watsons add bains deloitte et al,22:10:17 15:15:30,"Gqeberha/PE, South Africa",['ANC'],-0.5,0.7000000000000001
anc really working destroying main opposition parties using spvs fly nights dont like da yet one fails see anc using spvs ahead 2024election never defeat anc rid corruption,22:10:12 09:43:11,"Johannesburg, South Africa","['ANC', 'DA', 'ANC', '2024election', 'ANC']",0.09333333333333334,0.3466666666666667
explosion durban sub station epitomizes anc failed state industrial scale looting corruptiongraft theft 28 years lack maintenance security skills due anc cadre deployment result get govcouncil voted,22:10:12 08:55:25,South Africa,"['Durban', 'ANC']",-0.3125,0.3375
oh really wont say anything phala phala eating cyrils lap got ministerial role keeps wow also never says anything corruption silenced get coloured voters back anc western cape,22:09:30 05:16:56,Cape Town,['ANC'],0.07500000000000001,0.3
signs things come anc corruption elections,22:09:28 12:32:44,Johannesburg,"['ANC', 'CORRUPTION', 'elections']",0.0,0.0
anc cocooned luxurious perks lackofaccountability blind loyalty stemvee votingcattle harsh reality unfulfilled promises rampant corruption failure ancdeployees deliver even basic level,22:09:21 08:48:03,"Cape Town, South Africa","['ANC', 'LackOfAccountability', 'stemvee', 'VotingCattle', 'corruption', 'ANCDeployees']",-0.25416666666666665,0.4479166666666667
everyone saying vote anc dont understand iec already pockets corruption stay power forever,22:09:18 14:18:06,"Cape Town, South Africa.","['ANC', 'IEC', 'corruption']",0.0,0.0
hanekom statesman one failed basic duties head state cant deal corruption crime eskom potholes job creation healthcare free fall incompetent man helm fact entire anc must voted 2024,22:09:18 07:24:23,"Johannesburg, South Africa","['Eskom', 'ANC']",-0.09,0.44333333333333336
else expect ramaphosa mountain evidence anc utterly incapable running corruptionfree competent efficient municipality yet party continues plot coalitions order regain control lost elections,22:09:08 13:40:05,"Cape Town, South Africa","['Ramaphosa', 'ANC', 'CorruptionFree', 'coalitions']",0.25,0.8333333333333333
cabonena apartheid alive well driven anc old apartheid served least one population group apartheid serves corrupt anc population group bbbee pppfa serves anc cadres time voters wake anc corruption,22:08:15 06:52:59,South Africa,"['ANC', 'CORRUPTION']",-0.15,0.5
remember china broke pelindaba stole south african nuclear tech 2007 anc government seemingly tried cover chinas involvement yeah realised corruption started voting anc back,22:08:13 16:26:07,South Africa,"['China', 'Pelindaba', 'ANC']",0.0,0.0
anc believes owns black people esp poor regard stemvee voting cattle expected keep party power despite looting corruption lackofservicedelivery may failedstate long anc charge thats matters,22:07:20 09:07:06,"Cape Town, South Africa","['ANC', 'stemvee', 'looting', 'corruption', 'LackOfServiceDelivery', 'FailedState']",-0.17916666666666667,0.45833333333333326
press face anc corruption right get vote forsuffer,22:07:12 13:01:22,Pretoria,['ANC'],0.2857142857142857,0.5357142857142857
crime vote anc next election uselessleaders anc corruption arrogance cadredeployment uneducated zuma phalaphalagate ramaphosa,22:07:04 14:32:26,"Durban, KZN , South Africa","['UselessLeaders', 'ANC', 'CORRUPTION', 'Arrogance', 'cadredeployment', 'Uneducated', 'Zuma', 'PhalaPhalaGate', 'Ramaphosa']",0.0,0.0
saying anc voted power dreaming mabuza insists calls corruption anc davidmabuza,22:07:01 10:35:52,South Africa,"['ANC', 'DavidMabuza']",0.0,0.0
sabc clear simple stop voting corruption anc government thus best solution unit hammanskraal,22:06:29 06:56:27,"Temba, South Africa",['Anc'],0.3666666666666667,0.34682539682539687
useless anc go unemployment loadshedding crime corruption poorpeople gbv zimbabwe02 anc needs voted seriously country horrific state shameful useless stage6,22:06:28 17:53:28,"Johannesburg, South Africa","['ANC', 'unemployment', 'Loadshedding', 'crime', 'Corruption', 'poorpeople', 'GBV', 'zimbabwe02', 'ANC', 'stage6']",-0.5833333333333333,0.5166666666666667
fixed opportunity make decisive break anc excesses past voting building society free corruption state rooted ethics professionalism capability truly serves south african people zondocommission,22:06:27 13:04:22,"Cape Town, South Africa","['ANC', 'ZondoCommission']",0.0625,0.3125
absolutely loathe anc brainnumbed stemvee repeatedly vote power become numb constant flow corruption exposes shrug shoulders think survive like residents africa,22:06:21 09:31:06,"Cape Town, South Africa","['ANC', 'stemvee', 'corruption', 'Africa']",-0.13333333333333333,0.7444444444444445
eventhough vote choice added corruption ballot boxes taken place 28 year period especially anc,22:06:16 08:40:35,"Cape Town,South Africa",['Anc'],0.0,1.0
laughable people think zuma contributed absolutely nothing list ramaphosa take fall anc corruption continue unabated uneducated unemployed continue blindly vote madiba turning grave,22:06:14 14:59:33,South Africa,['ANC'],-0.26666666666666666,0.8555555555555555
icu ancpandemic anc corruption 2024presidentialelections mangenatoons anapictures iolpolitics,22:06:13 07:14:15,"Johannesburg, South Africa","['SouthAfrica', 'ICU', 'ANCPandemic', 'ANC', 'Corruption', '2024PresidentialElections', 'Mangenatoons', 'ANAPictures', 'IOLPolitics']",0.0,0.0
ramaphosa said thuma mina wasnt talking us guys decided give votes corruption anc advteffo meyiwatrial ramaphosamustgo,22:06:07 13:36:06,"Johannesburg, Gauteng","['Corruption', 'ANC', 'AdvTeffo', 'MeyiwaTrial', 'ramaphosamustgo']",0.0,0.0
anc really working destroying main opposition parties using spvs fly nights dont like da yet one fails see anc using spvs ahead 2024election never defeat anc rid corruption,22:10:12 09:43:11,"Johannesburg, South Africa","['ANC', 'DA', 'ANC', '2024election', 'ANC']",0.09333333333333334,0.3466666666666667
da would also help stop corruption savoters would stop voting anc allies form politicalcoalitions enable get back power eff patrioticalliance ifp actionsa etc,22:10:18 08:59:43,"Cape Town, South Africa","['corruption', 'SAVoters', 'ANC', 'PoliticalCoalitions', 'EFF', 'PatrioticAlliance', 'IFP', 'ActionSA']",0.0,0.0
da would also help stop corruption savoters would stop voting anc allies form politicalcoalitions enable get back power eff patrioticalliance ifp actionsa etc,22:10:18 08:59:43,"Cape Town, South Africa","['corruption', 'SAVoters', 'ANC', 'PoliticalCoalitions', 'EFF', 'PatrioticAlliance', 'IFP', 'ActionSA']",0.0,0.0
