,Text,Datetime,Location,Hashtags
535,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  20 ,17:12:30 18:40:09,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
582,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  19 ,17:12:30 17:05:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
596,let the same level of disdainful noise be made about white corruption as much as it is made about black corruption the media house  ngos the works these corrupt whites must also be thrown into jail and then throw the keys away theyve further damaged the rsa economy ,17:12:30 16:31:04,"Johannesburg, South Africa","['CORRUPTION', 'RSA']"
623,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  17 ,17:12:30 15:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
668,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  15 ,17:12:30 13:25:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
670,corruption must fall now,17:12:30 13:23:15,"Pretoria, South Africa",['CORRUPTION']
776,"zumas south africa
educationcrisis
nenegate
sassagate
prasagate
guptagate
saagate
nukegate
economiccrisis etc

zumas anc
factionalism
cronyism
ineptitude
corruption

generalchaos

thanks to
zero oversight
cronyism
greed
lack of vision
did i mention greed",17:12:30 07:35:20,"Cape Town, South Africa","['Zuma', 'EducationCrisis', 'NeneGate', 'SASSAGate', 'PRASAGate', 'GuptaGate', 'SAAGate', 'NukeGate', 'EconomicCrisis', 'Factionalism', 'Cronyism', 'Ineptitude', 'Corruption', 'GeneralChaos']"
826, from your tweet it s a bit unclear whether you support the corruption or the impeachment  ,17:12:30 04:49:54,Cape Town,"['Corruption', 'Impeachment']"
829,"southafrica  court raises pressure for zuma to go
the court said parliament had failed to hold president jacobzuma accountable in a corruption case and ordered lawmakers to set rules on impeachment",17:12:30 04:14:33,South Africa,"['SouthAfrica', 'Court', 'Zuma', 'Parliament', 'JacobZuma', 'corruption', 'lawmakers', 'impeachment']"
1176,watching the most amazing documentary on  about the rise of activecitizenry in romania   to combat corruption and wonder if southafrica will ever get there,17:12:29 12:47:27,"Johannesburg, South Africa","['ActiveCitizenry', 'Romania', 'Corruption', 'SouthAfrica']"
1257,"i observed today that corruption is inevitable in any area where a resource is not institutionalized against accountability

corruption",17:12:29 09:49:45,"Pretoria, South Africa",['corruption']
1296,throw outta your trash before2018 exes fakefriends badhabits fakefamily lies cheating corruption,17:12:29 08:01:44,"Johannesburg, South Africa","['exes', 'fakefriends', 'badhabits', 'fakefamily', 'lies', 'cheating', 'CORRUPTION']"
1322,"time is changing we must also change ourselves
land is our first priority and we must fight for it
remove corruption remove inequality and forget the rand till we did not get back which is belongs to us
landordeath blf     ",17:12:29 06:30:15,South Africa,"['Land', 'corruption', 'Rand', 'LandorDeath', 'BLF']"
1337,my hope on next administration be on news for government work if in court should b about expropriation of land not firepool statecapture corruption ,17:12:29 05:13:39,"Cape Town, South Africa","['firepool', 'StateCapture', 'CORRUPTION']"
1338," and eni to be tried over 13 billion nigerian oil deal
an italian judge ruled that current and former executives from two of the world s largest oil companies must go to trial on corruption charges",17:12:29 05:12:15,South Africa,"['Eni', 'Nigerian', 'Oil', 'Italian', 'corruption']"
1693,and these are just one of the things that make our country great lets leave the stupid things such as corruption and racism behind us forward ,17:12:28 09:43:07,"Johannesburg, RSA","['CORRUPTION', 'RACISM']"
1708,bono discusses his band fighting corruption what he learned from almost dying and more  via  u2  ,17:12:28 08:24:24,"Cape Town, South Africa","['corruption', 'U2']"
2179," doing their utmost best to make a corruption issue racial

south africa will never be and win as a unified nation as long as racebaiting politicians and media continue to try manipulate public opinion ",17:12:27 10:21:18,"Umlazi, South Africa",['corruption']
2591,"corruption wins and i saw the real face of it is white
we cannot see any rising or anything from now for blacknatives who are suffering so long for their rights ramaphosa is president and only helps white business not interested in black business  bad days start ",17:12:26 11:23:32,South Africa,"['Corruption', 'White', 'blacknatives', 'ramaphosa']"
2656,"corrupt in heart mind morality politics economics ethics religion social decency reasoning even leadership  as time will surely show that he never left a leadership the leaders left him zuma corruption 
",17:12:26 07:23:44,South Africa,"['Zuma', 'Corruption']"
2745,"will the lion roar or will the mouse squeak 
what will cr17 do
anc54
 ancdecides2017 zuma783 corruption treason 
zuma s fears over two power centres come true  via ",17:12:25 21:49:07,South Africa,"['CR17', 'ANC54', 'ANCdecides2017', 'ZUMA783', 'Corruption', 'Treason']"
2769,following a week of riviting politics in southafrica where a lot hinged on perceptions of corruption the one outstanding matter remains  complete agreement on what constitutes corruption too many times a blind eye is turned in this regard no matter legislative prescripts,17:12:25 19:32:05,Kimberley,"['SouthAfrica', 'corruption']"
2841,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  14 ,17:12:25 12:25:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
2858,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  12 ,17:12:25 10:35:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
2869,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  11 ,17:12:25 09:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
2880, zuma corruption at first hand then how do we fight corruption if he stands with it ,17:12:25 08:52:37,South Africa,"['Zuma', 'Corruption']"
2888,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  10 ,17:12:25 08:10:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
2915,zuma is now a citizen of india he cares about growing that countrys economy through unlawful means corruption  amp moneylaundering   ,17:12:25 05:44:47,South Africa,"['corruption', 'money_laundering']"
2919,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  7 ,17:12:25 05:35:02,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
2933,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  6 ,17:12:25 04:10:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
2951,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  4 ,17:12:25 02:35:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
2967,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  2 ,17:12:25 00:55:02,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
2983,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  1 ,17:12:24 23:35:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
2987,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  0 ,17:12:24 22:55:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3022,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  22 ,17:12:24 20:40:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3028, blf shall also lead the progressive forces to fight whitemonopolycapital corruption and demand the implementation of the revised miningcharter blf and all other progressive forces must defend the gains of  freeeducation  as part of the ret programme of action ,17:12:24 20:20:41,"Cape Town, South Africa","['BLF', 'whitemonopolycapital', 'corruption', 'MiningCharter', 'FreeEducation', 'RET']"
3058,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  20 ,17:12:24 18:40:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3066," first of all i dont believe amp secondly you whites have only looted us then if you are contributing to lessen poverty then whats a big deal
or
i think  is sold out to ramaphosa amp rupert
so they are favoring to corrupt amp corruption
   ",17:12:24 18:05:21,South Africa,"['Whites', 'Ramaphosa', 'Rupert', 'corrupt', 'CORRUPTION']"
3080,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  19 ,17:12:24 17:05:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3087,"sos help emergency enviroserv poisoning environment crime massmurder crimesagainsthumanity corruption illegal airpollution torture abuse humanrightsviolations abovethelaw psychotic liars deceivers evil wastecrime
spewing like fukushima
",17:12:24 16:40:15,"Durban, South Africa","['SOS', 'Help', 'Emergency', 'EnviroServ', 'Poisoning', 'Environment', 'Crime', 'MassMurder', 'CrimesAgainstHumanity', 'Corruption', 'Illegal', 'AirPollution', 'Torture', 'Abuse', 'HumanRightsViolations', 'AboveTheLaw', 'Psychotic', 'Liars', 'Deceivers', 'Evil', 'WasteCrime']"
3090,"sos help emergency enviroserv poisoning environmentcrimes massmurder crimesagainsthumanity animalabuse wrong corruption evil humanrightsviolations illegal psychotic abuse torture pollutioncrime wastecrime deceivers liars abovethelaw
",17:12:24 16:38:26,"Durban, South Africa","['SOS', 'Help', 'Emergency', 'EnviroServ', 'Poisoning', 'EnvironmentCrimes', 'MassMurder', 'CrimesAgainstHumanity', 'AnimalAbuse', 'Wrong', 'Corruption', 'Evil', 'HumanRightsViolations', 'Illegal', 'Psychotic', 'Abuse', 'Torture', 'PollutionCrime', 'WasteCrime', 'Deceivers', 'Liars', 'AboveTheLaw']"
3110," politics mustnt  access 2 state resources it must be ability 2 serve ur constituancy when it is abt access 2 resources corruption permeates
 merry xmas bro tim",17:12:24 15:35:20,South Africa ,['CORRUPTION']
3111,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  17 ,17:12:24 15:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3129,with  as president of  it is no shame to be a whistleblower corruptionbuster there are still some who ostracize those who uncover and report corruption even in the anc corruption whistleblower ,17:12:24 14:26:37,"Cape Town, South Africa","['ANC', 'CORRUPTION', 'Whistleblower']"
3159,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  15 ,17:12:24 13:25:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3173,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  14 ,17:12:24 12:25:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3203,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  12 ,17:12:24 10:35:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3219,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  11 ,17:12:24 09:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
3237,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  10 ,17:12:24 08:10:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3246,"more on theguptas and bombardier and how the guptas got canada to finance their deal



corruption anc zuma",17:12:24 07:35:36,"Cape Town, South Africa","['Bombardier', 'Canada', 'Corruption', 'ANC', 'Zuma']"
3258,"news as statecapture report by  was just a political tool to defame zuma its fake
state capture can occur effectively only if there would have a wide level corruption and bribery taking place on all executive spheres
 administration
 judiciary
 legislature ",17:12:24 06:50:16,"Johannesburg, South Africa","['StateCapture', 'Zuma', 'fake', 'corruption']"
3280,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  7 ,17:12:24 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3299,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  6 ,17:12:24 04:10:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
3323,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  4 ,17:12:24 02:35:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
3360,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  2 ,17:12:24 00:55:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3400,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  1 ,17:12:23 23:35:02,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
3411,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  0 ,17:12:23 22:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3456,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  22 ,17:12:23 20:40:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3497, carl niehaus for radical economic corruption anc54 corruption clean out the house we might be very sorry and embarrassed after 2019 elections if thugs like this is still active in the greatest movement     ,17:12:23 19:07:34,"Cape Town, South Africa","['ANC54', 'CORRUPTION']"
3505,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  20 ,17:12:23 18:40:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3543,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  19 ,17:12:23 17:05:12,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3589,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  17 ,17:12:23 15:35:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3672,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  14 ,17:12:23 12:25:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3712,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  12 ,17:12:23 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3732,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  11 ,17:12:23 09:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
3760,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  10 ,17:12:23 08:10:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3819,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  7 ,17:12:23 05:35:02,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3823,"speaker of osun state house of assembly najeem saleem sharing dividends of democracy to his constituents in ejigbo twas gala amp lipton
corruption nigeria roguery accountability service  traffic  trust   ",17:12:23 05:17:14,"Oslo Beach, South Africa","['CORRUPTION', 'Nigeria', 'roguery', 'accountability', 'service']"
3842,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  6 ,17:12:23 04:10:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
3876,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  4 ,17:12:23 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
3899,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  2 ,17:12:23 00:55:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
3936,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  1 ,17:12:22 23:35:03,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
3952,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  0 ,17:12:22 22:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4008,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  22 ,17:12:22 20:40:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4063,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  20 ,17:12:22 18:40:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4064,in other words the chiefs will get the land and not the people corruption ,17:12:22 18:39:57,"Cape Town, South Africa",['corruption']
4118,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  19 ,17:12:22 17:05:11,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4129,"dear dear allseeing kind amp just god we the average south african plebs who dont have access to endless state funds live in hope that one day zuma will appeal his own endless appellations
statecapture  corruption fraud ",17:12:22 16:51:45,South Africa,"['Zuma', 'StateCapture', 'Corruption', 'Fraud']"
4130,"press dear dear allseeing kind amp just god we the average south african plebs who dont have access to endless state funds live in hope that one day zuma will appeal his own endless appellations
statecapture  corruption fraud",17:12:22 16:49:44,South Africa,"['Zuma', 'StateCapture', 'Corruption', 'Fraud']"
4142,bribery and corruption doesn t buy the men of honor and dignity nofriendshipwithusa manisknownby thecompanyhekeeps ,17:12:22 16:32:10,South Africa,"['Bribery', 'Corruption', 'NoFriendshipWithUSA', 'ManIsKnownBy']"
4182,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  17 ,17:12:22 15:35:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4257,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  14 ,17:12:22 12:25:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4258,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  14 ,17:12:22 12:25:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4259,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  14 ,17:12:22 12:25:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4301,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  12 ,17:12:22 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4302,inseta must fall sandra dunn and cronies must fall paja corruption exploitation dhet dol   ,17:12:22 10:35:05,South Africa,"['INSETA', 'PAJA', 'Corruption', 'Exploitation', 'DHET', 'DoL']"
4303,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  12 ,17:12:22 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4304,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  12 ,17:12:22 10:35:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4337,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  11 ,17:12:22 09:35:06,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4338,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  11 ,17:12:22 09:35:05,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4388,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  10 ,17:12:22 08:10:06,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4389,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  10 ,17:12:22 08:10:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4390,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  10 ,17:12:22 08:10:05,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4444,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  7 ,17:12:22 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4445,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  7 ,17:12:22 05:35:03,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4446,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  7 ,17:12:22 05:35:02,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4480,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  6 ,17:12:22 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4481,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  6 ,17:12:22 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4482,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  6 ,17:12:22 04:10:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4556,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  4 ,17:12:22 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4557,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  4 ,17:12:22 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4558,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  4 ,17:12:22 02:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4603,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  2 ,17:12:22 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4604,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  2 ,17:12:22 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4605,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  2 ,17:12:22 00:55:04,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4639,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  1 ,17:12:21 23:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4640,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  1 ,17:12:21 23:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4641,thought factory  the anc in freefall tipping point or turning point politics rsa corruption  1 ,17:12:21 23:35:04,"Cape Town, South Africa","['ANC', 'politics', 'RSA', 'corruption']"
4656,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  0 ,17:12:21 22:55:08,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4657,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  0 ,17:12:21 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4658,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  0 ,17:12:21 22:55:07,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4691, there is corruption no race has ever been more corrupt than another its the individual who chooses to be corrupt and then pull the race card to get their fellow race group to agree with them this is the narrative used by jimmy we see you ,17:12:21 22:04:28,"Cape Town, South Africa",['CORRUPTION']
4723,for everyone involved in statecapture other corruption or considering it  the pure in heart shall see god  ,17:12:21 20:50:21,"Pretoria, South Africa","['StateCapture', 'corruption']"
4728,most politicians in south africa are so vocal against corruption but we know their friends outside politics show me yr friends amp i will tell you who u are lets get serious about fighting corruption we are stealing from ourselves  ,17:12:21 20:40:45,Midrand,['corruption']
4805,how come we dont take corruption seriously its so unafrican corruption ,17:12:21 17:53:34,South Africa,['corruption']
4834,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  19 ,17:12:21 17:05:16,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
4908,thought factory new the  thiefinchief  rsa zuma corruption anc leadership  17 ,17:12:21 15:35:09,"Cape Town, South Africa","['RSA', 'Zuma', 'corruption', 'ANC', 'leadership']"
5042,best christmas present i have given this year  additional donation to  to help them with their invaluable work  savesa fighting corruption and abuse of our taxes,17:12:21 12:24:14,"Johannesburg, South Africa",['Corruption']
5053,you may just further add jola that   resolved on corruption and on statecapture  u r spot on ,17:12:21 12:12:51,South Africa,"['Corruption', 'StateCapture']"
5061,imf tells congo brazzaville to clean up corruption and get moving on debt restructuring if it wants a bailout to keep the economy from imploding ,17:12:21 12:07:13,"Johannesburg, South Africa","['IMF', 'Congo', 'Brazzaville', 'corruption', 'debt']"
5185," patriarchy has once again reared its ugly head  true even after so many years of independence we are still shackled in the stigma of patriarchy and inequality
this is a win of corruption racism amp biased wmc
anc54 
ancelectiveconference 
cr17 ",17:12:21 08:10:59,"Johannesburg, South Africa","['Corruption', 'racism', 'biased', 'WMC', 'ANC54', 'ANCElectiveConference', 'CR17']"
5192,iran sentences former vice president to 63 years in prison over misuse of public funds while in office  via   corruption ,17:12:21 08:00:11,"Cape Town, South Africa",['Corruption']
5203,"2017 has seen interesting revelations 
corruption anc54 zuma mugabe guptaleaks throwbackthursday
the au estimates that 25 of the gdp of african states or some 148 billion is lost to corruption every year  
imagine the possibility 2018  
 ",17:12:21 07:41:57,"Johannesburg, South Africa","['Corruption', 'ANC54', 'Zuma', 'Mugabe', 'GuptaLeaks', 'ThrowbackThursday', 'AU', 'African', 'corruption']"
5222,delighted to be part of an organisation that stands up to corruption henleyafrica corporateactivism lovesa ,17:12:21 07:06:10,"Johannesburg, South Africa","['corruption', 'HenleyAfrica', 'CorporateActivism', 'LoveSA']"
5234,phanzi nge corruption fraud phanzi    is the movement to resolve this cancer thats destroying our country anc54,17:12:21 06:46:55,"Pretoria, South Africa","['corruption', 'fraud', 'ANC54']"
5264,"what about grand corruption against the people when we got a bad deal at codesa and those responsible got billions

colonialism and apartheid were institutionalized corruption and theft on a grand scale

they are statecapture of huge proportions

let s be honest ",17:12:21 06:12:58,South Africa,"['Grand', 'Corruption', 'Codesa', 'StateCapture']"
