Text,Datetime,Location,Hashtags,polarity,subjectivity
anc got 41 vote last municipal election lost vote majority lot 56 2016 41 2021 sadly treacherous opposition parties sold us sided anc form govt issue durban residents still voting anc,22:11:25 08:50:54,"Umlazi, South Africa","['ANC', 'Durban']",-0.25,0.5333333333333333
anc stand podium claim success fup ashamed show face resign accord failure failureand somehow stupid people still vote gimme hope jo anna please jo anna hope man,22:11:25 07:48:42,"Pretoria, South Africa",['ANC'],-0.2722222222222222,0.43333333333333335
sad face anc rural voters,22:11:25 04:06:54,"Johannesburg, South Africa",['ANC'],-0.25,0.5
animal cyrilramaphosa phalaphalafarmgate eff anc vote risk,22:11:24 09:55:10,"Durban, South Africa","['cyrilramaphosa', 'PhalaPhalaFarmGate', 'eff', 'ANC']",0.0,0.0
bothered 50 1 care enough get vote count general elections instead using slogans attract sponsors funding anc wouldnt impunity pay lipservice issues majority voters dont give damn unfortunately,22:11:24 04:35:03,"Horison View, South Africa",['ANC'],-0.15,0.6666666666666666
jobe corruption whoever pays higher win votes cry beloved country anc,22:11:23 15:24:37,South Africa,"['corruption', 'ANC']",0.5833333333333334,0.6333333333333333
dismissive statement doesnt acknowledge facts durban residents didnt vote anc last local government election voters woken one cant blame voters opposition politicians betrayed sided crookedcadres,22:11:23 15:07:24,"Umlazi, South Africa","['Durban', 'ANC']",0.0,0.03333333333333333
anc likely lose majority marginal inroads expected da survey anc da elections,22:11:23 13:53:54,South Africa,"['ANC', 'DA', 'Elections']",-0.05,0.7
abused vote anc hotspot us issues,22:11:22 17:37:57,"Pretoria, South Africa",['ANC'],0.0,0.0
south africa president victorious anc elective conference next month read attached report news24 today leading party anc wins national vote 2024,22:11:22 14:24:05,"Johannesburg, South Africa","['ANC', 'News24', 'ANC']",0.15,0.1
let us vote confidence anc demand general election brought forward 2023 get rid idiotic called government anc da loadshedding incompetent,22:11:21 12:01:05,"South Africa, JHB","['Anc', 'Loadshedding', 'INCOMPETENT']",-0.3222222222222222,0.5666666666666668
candidates 23 nov byelection wc drakenstein ward 17 da lorraine cyster vfplus pierr du toit anc fransisca dreyer eff dehan abrahams ara brigham rix ind alvina abrahams 2021 results 8159 1154 153 012 004,22:11:21 10:47:29,"Pretoria, South Africa","['DA', 'VFplus', 'ANC', 'EFF', 'ARA']",0.0,0.0
candidates 23 nov byelection wc city cape town ward 38 anc suzanne zumana eff tshepo motlhabane good lulama benge da siya ndlezana pac vuyani skolpati udm nceba tyobeka ara sakhele kula ind masiya yengwa 2021 results 75 9 5 4,22:11:21 10:41:27,"Pretoria, South Africa","['ANC', 'EFF', 'GOOD', 'DA', 'PAC', 'UDM', 'ARA']",0.7,0.6000000000000001
candidates coming byelection mp nkomazi ward 04 anc samuel ngobeni eff raymond mathibe al thando sambo 2021 results 7021 1246,22:11:21 10:34:59,"Pretoria, South Africa","['ANC', 'EFF', 'AL']",0.0,0.0
candidates upcoming byelection mp govan mbeki ward 25 da nicholaas huyssteen anc khumbulani ngema eff bandeli nkosi ifp malibongwe dlamini 2021 results 743 865 465 043,22:11:21 10:31:24,"Pretoria, South Africa","['DA', 'ANC', 'EFF', 'IFP']",0.0,0.0
candidates upcoming byelection mp mkhondo ward 15 anc sabelo shoba eff jabulani ndlangamandla ifp sinenhlanhla madonsela aacum busangani magagula ind jabulani nkosi ind bhekisisa kunene ind sibusiso ntshalintshali 2021 results 5096 971,22:11:21 10:25:57,"Pretoria, South Africa","['ANC', 'EFF', 'IFP', 'AACUM']",0.0,0.0
surprises voters seeing anc country,22:11:21 09:52:56,South Africa,['anc'],0.0,0.0
sure anc elective conference 3 weeks away ramaphosa cannot scenes july 21 jes looking reelection,22:11:21 09:17:56,South Africa,"['ANC', 'Ramaphosa']",0.5,0.8888888888888888
assume blacks vote block anc probably think gardner represents average black,22:11:21 07:54:46,South Africa,['ANC'],-0.15833333333333333,0.41666666666666663
sadly voted power five consecutive terms know better life become bunfight much better life anc cadres friends families also green shoots hope,22:11:20 22:59:15,"Johannesburg, South Africa",['ANC'],0.075,0.575
blackouts blackouts south africa blackouts blackouts governmentowned eskom electricity supplier total failure thanks incompetence governing anc south africans voted power stupid,22:11:20 11:47:55,"Johannesburg, South Africa","['Eskom', 'ANC']",-0.22916666666666666,0.5625
elections far away anc must pay dearly abhorrent level load shedding eskom anc,22:11:20 11:37:12,"Upington, South Africa","['eskom', 'ANC']",-0.3,0.9
squabbles slates mentality votebuying killing anc click link full article sundaynews anc politics newsupdate sundayworld,22:11:20 06:27:01,Johannesburg,"['SundayNews', 'ANC', 'politics', 'newsupdate', 'SundayWorld']",0.35,0.55
shackles economic freedom resonate truth history important foundational work put enemy people org works hard revise progress made johnhlophe anc election2022,22:11:19 15:00:24,Johannesburg,"['johnhlophe', 'ANC', 'Election2022']",0.1027777777777778,0.5805555555555556
anc mafias cugines tshwane resort partys tried trusted method getting violence sadly going common place 24 elections party list democracy persists anc violent failed state,22:11:18 09:13:31,South Africa,"['ANC', 'Tshwane']",-0.525,0.7
anc supporters vote misery beg others save voted anc created energy crisis begs fix watch full vukanazo gt,22:11:17 15:26:31,"Umlazi, South Africa","['ANC', 'VukaNazo']",0.35,0.55
votes anc destroy eskom begs elonmusk fix energy crisiswelele watch vukanazo episode 74 heregt,22:11:17 14:48:31,"Umlazi, South Africa","['ANC', 'ESKOM', 'ElonMusk', 'VukaNazo']",-0.2,0.0
siwela citizen cartoon ramaphosa anc corruption phalaphala loadshedding statecapture servicedelivery costoflivingcrisis election2024,22:11:17 14:40:00,"Bellville, South Africa","['cartoon', 'Ramaphosa', 'ANC', 'corruption', 'PhalaPhala', 'loadshedding', 'statecapture', 'servicedelivery', 'CostOfLivingCrisis', 'election2024']",0.0,0.0
results yesterdays byelection lim bela bela ward 01 vfplus 5835 3207 da 3482 3104 anc 536 053 eff 147 101 vfplus win ward da johan cloete elected,22:11:17 04:58:21,"Pretoria, South Africa","['VFPlus', 'DA', 'ANC', 'EFF']",0.8,0.4
south africans must plan replace anc fact happen learning lessons chaotic experiment coalitions provinces metros municipalities anc dislodged albeit party biggest share popular vote,22:11:16 15:09:41,South Africa,"['ANC', 'ANC']",0.6,0.9
done well voters must remove anc governance must done,22:11:16 14:33:14,"Johannesburg, South Africa",['ANC'],0.0,0.0
south africa current president win next month elective conference anc national election 2024 anc get 5055 vote south africa politics interesting upcoming years,22:11:16 10:57:06,"Johannesburg, South Africa",['ANC'],0.325,0.325
eskom loadshedding confirmed permanent coming years goodbye anc kicked next election,22:11:16 06:57:02,"Umhlanga, South Africa","['Eskom', 'loadshedding', 'ANC']",0.2,0.5
must save us voted energy crisis anc creation afterall,22:11:16 03:30:14,"Umlazi, South Africa",['ANC'],0.0,0.0
anc interest constituencybasedelectoralsystem suit party whose leaders want ensure loyalty party voters constitution drag feet deliver another flawed inadequate system 2029,22:11:15 13:10:11,"Cape Town, South Africa","['ANC', 'ConstituencyBasedElectoralSystem', 'Constitution']",-0.3,0.28541666666666665
actionsa clearly vendetta da sole purpose eventually vote anc eff,22:11:15 08:28:31,johannesburg,"['anc', 'eff']",0.05000000000000001,0.31666666666666665
ancnec disapproval ramaphosa actionsdecisions would long recalled anc branches disapprobation cyrils performance wont reelect reelection cyril inaction ancnec sign approval confidence,22:11:15 05:49:33,"Durban, South Africa","['ANCNEC', 'ANC', 'ANCNEC']",-0.05,0.4
reelection ramaphosa upcoming elective conferences final nail coffin demise anc send strong message anc branches agreement state affairs leadership anc problem,22:11:15 05:44:18,"Durban, South Africa","['ANC', 'ANC', 'ANC']",0.21666666666666665,0.8666666666666667
rocket science da runs municipality better anc majority voters still dont get 3rdworld culture leads thinking anc good job,22:11:15 04:27:00,South Africa,"['DA', 'ANC', '3rdworld', 'culture']",0.6,0.55
king21 u voted anc u definitely voted,22:11:15 00:19:09,"Modderfontein, Johannesburg",['ANC'],0.0,0.5
86 yabakwena anc mps possibly mps parties voted parliamentary majority elect ramaphosa president president accountable parliament parliament remove unless resigns voluntarily,22:11:14 13:46:17,"Langebaan, South Africa","['ANC', 'Ramaphosa']",0.4,0.95
anc corrupt end spending money supposed used service delivery chasing amasela stop thiseasystop voting anc,22:11:14 13:31:48,"Durban, South Africa","['ANC', 'ANC']",-0.5,1.0
reason ill never vote anc,22:11:14 12:17:03,"Soweto, South Africa",['ANC'],-0.5,1.0
president member parliament unless resigns remove would thru parliamentary vote confidence would 1st entail debate voted pretty sure anc want highlight allegations,22:11:14 10:46:30,"Langebaan, South Africa",['ANC'],0.375,0.9444444444444444
byelection candidate list 16 nov election lim bela bela ward 01 da hendrika kruger vfplus johan cloete anc bianca moco eff mahlomola mohlala 2021 results 6586 2628 483 248,22:11:13 18:03:55,"Pretoria, South Africa","['DA', 'VFplus', 'ANC', 'EFF']",0.0,0.0
anc messed freedom charter struggle vote came cleaned mess realign struggle land happen pac must rise clean mess ancnec narius news,22:11:13 09:59:34,"Johannesburg, South Africa","['ANC', 'ANCNEC']",0.005555555555555573,0.35000000000000003
proof shows hectic dec anc conference anc future tartars n seems future bleak n question make 2024 elections n quote abraham lincoln u fool people times u cant fool people times,22:11:13 09:15:40,"Port Elizabeth, South Africa",['anc'],-0.3333333333333333,0.4166666666666667
blame ancblame naive individuals keep voting even though delivers service,22:11:13 04:38:49,South Africa,['ANC'],-0.3,1.0
please speak cant speak children assumptions wrong anc never win 2024 elections ramaphosa helm phalaphalafarm phoenixmassacre,22:11:12 17:22:38,South Africa,"['ANC', 'PhalaPhalaFarm', 'PhoenixMassacre']",-0.45,0.65
hung nkululeko n culture abd broke made first milli 26 years old also spoke politics relation eff malema mmusimaimane electoralammendmentbill anc 2024election etc,22:11:12 09:23:14,"Johannesburg, South Africa","['eff', 'malema', 'mmusimaimane', 'electoralammendmentbill', 'anc', '2024Election']",0.175,0.26666666666666666
mr anc voters complaining couple pot holes corruption,22:11:12 08:29:39,"Cape Town, South Africa",['ANC'],0.0,0.0
first time 2024 voting anc anewanc,22:11:12 02:55:53,"Johannesburg, South Africa","['ANC', 'ANewANC']",0.25,0.3333333333333333
ic throw whole ret moving bus add anc votes decrease im hozaaaaaaaa 2024 whike ret still fed ne,22:11:11 20:55:50,"Pretoria, South Africa","['RET', 'ANC', 'RET']",0.2,0.4
must enjoy voting mandela party anc voetsekanc ancistrash,22:11:11 18:31:54,"Cape Town, South Africa","['ANC', 'VoetsekANC', 'ANCisTrash']",0.4,0.5
podcast second mail guardian sixpart podcast series story anc polokwane conference 2007 focus changes came election jacob zuma anc mglisten listen,22:11:11 13:30:38,"Johannesburg, South Africa","['ANC', 'MGListen']",0.0,0.0
bthe anc get 50 votes nge next national election electing comrades ngo dec president dpresident chairthandi modise sgdangota dsg tg mathew phosa anc,22:11:10 13:39:27,"Johannesburg, South Africa",['ANC'],0.0,0.0
realnewsformobile anc colleenmakhubele voteofnoconfidence,22:11:10 10:00:54,"Linden, Johannesburg","['RealNewsForMobile', 'ANC', 'ColleenMakhubele', 'VoteOfNoConfidence']",0.0,0.0
country dont learn mistakes especially youth one suffer due actions must keep voting people investigated crime leaked anc wakandaforever,22:11:10 09:28:16,"Kempton Park, South Africa","['leaked', 'ANC', 'WakandaForever']",-0.0625,0.6875
ipsos poll found election held today south africa anc would get 41 vote 7 10 south african voters believe country moving wrong direction business reports good news may ancs support keep declining,22:11:10 05:46:45,"Johannesburg, South Africa","['Ipsos', 'ANC']",0.06666666666666665,0.5
simply support anc vote alternative actionsa2024project,22:11:09 23:41:10,"Durban, South Africa","['ANC', 'ActionSA2024Project']",0.0,0.35714285714285715
andisa free air covered public broadcasting tax payers money wont use buy packages fundsbuy votes anc conference,22:11:09 17:10:26,Nelspruit,['ANC'],0.2,0.43333333333333335
lool free air interview anc elective conference hope tax payers money wont use air anc conference buy votes,22:11:09 16:56:21,Nelspruit,"['Anc', 'Anc']",0.4,0.8
anc away bee think would lose votes average south african township rural side matters getting job good service delivery reduced crime bee thing matters elite black nationalists,22:11:09 14:53:36,"Johannesburg, South Africa","['ANC', 'BEE', 'BEE']",0.07666666666666666,0.2866666666666667
similar anc voters,22:11:09 06:48:36,"Cape Town, South Africa",['ANC'],0.0,0.4
bcoz insist voting anc earned suffering bazenzile,22:11:09 03:41:40,South Africa,['ANC'],0.0,0.0
democrats stealing elections since 1868 subsequent formation kkk whats disingenuous dishonest deceitful bunch hypocrites modern history anc course get along well,22:11:08 23:03:16,"Cape Town, South Africa",['ANC'],-0.033333333333333326,0.2833333333333334
anc created problem taking loans pretend solving problem created getting us crisis one stop vote anc 2024,22:11:08 19:39:42,"Durban, South Africa",['ANC'],0.0,0.0
vote actionsa whole heart anc failed rule destroyed country theft budgets corruption municipality govern beneficiaries corruption vote anc,22:11:08 18:17:24,Johannesburg,"['ActionSA', 'ANC']",-0.15,0.35
koalisie politiek die toekoms kom ons red suidafrika vanuit die anc en eff se kloue coalitions politics future lets save south africa clutches anc eff registreeromtestem registertovote,22:11:08 15:17:24,"Centurion, South Africa","['ANC', 'EFF', 'ANC', 'EFF', 'RegistreerOmTeStem', 'RegisterToVote']",0.0,0.0625
savoters please wake stop voting anc allies eff udm atm patrioticalliance etc parties used keep anc power future elections wake stop manipulated,22:11:08 13:35:46,"Cape Town, South Africa","['SAVoters', 'ANC', 'EFF', 'UDM', 'ATM', 'PatrioticAlliance']",0.0,0.125
2 leader eff vote anc ekurhuleni punish unrepentant anc c124 vs j99 ne,22:11:08 12:02:37,"Pretoria, South Africa",['ANC'],0.0,0.0
matjila hates blacks know fellow wasted vote english override level anc failures govt exactly see public need stay office wakes lie mandela sold better life,22:11:08 12:01:38,South Africa,['ANC'],0.11000000000000001,0.16333333333333333
party anc together eff made mockery people ekurhuleni afternoon made sick vote tania campbell first place people tembisa must look spit ground walk,22:11:08 11:54:03,"Gauteng, South Africa","['ANC', 'EFF']",-0.23214285714285715,0.5952380952380952
still remember thieves stole expensive alcohol cele mini lapa ret forces want anc members vote ne,22:11:08 08:24:26,"Pretoria, South Africa","['RET', 'ANC']",-0.5,0.7
reason ill never vote anc,22:11:08 04:42:45,"Soweto, South Africa",['ANC'],-0.5,1.0
probably one schemes work use sataxpayersmoney forgive billions owed sowetanresidents anc good rewarding protecting political constituencies depends votes keep power luxury,22:11:07 17:24:35,"Cape Town, South Africa","['SATaxpayersMoney', 'SowetanResidents', 'ANC']",0.39999999999999997,0.5666666666666668
zuma accuses ramaphosamustgo votebuying secure anc top job,22:11:07 15:18:15,"Johannesburg, South Africa","['Zuma', 'ramaphosamustgo', 'ANC']",0.45,0.55
would vote lindiwe sisulu president south africa lindiwesisulu mondaymotivation anc idolssa,22:11:07 13:31:51,"Johannesburg, South Africa","['lindiwesisulu', 'MondayMotivation', 'anc', 'IdolsSA']",0.0,0.0
panther anc clearly saying voters stop voting us voters want hear nothing still vote,22:11:07 08:40:44,"Durban, South Africa",['ANC'],0.10000000000000002,0.3833333333333333
anc busy buying votes place taxpayers money waterbarrows donkey carts unfortunately majority electorate asses could work,22:11:07 07:43:26,capetown,['ANC'],-0.2,0.65
watch ramaphosa election anc leader illegitimate zuma ramaphosa zuma anc,22:11:07 06:05:22,"Johannesburg, South Africa","['Ramaphosa', 'Zuma', 'ANC']",0.0,0.0
kuyonakala voting delegates must save left anc conference ayikho lento,22:11:07 03:48:18,"Johannesburg, South Africa",['ANC'],0.0,0.0
president cyril ramaphosa election illegitimate says former president jacob zuma anc jacobzuma cyrilramaphosa,22:11:07 03:03:38,"Johannesburg, South Africa","['ANC', 'jacobzuma', 'CyrilRamaphosa']",0.0,0.0
mandizibulele ndicela ingcaciso kulomqolo uthi league currently voting preferred candidates anc ngamafutshane uthi nytt ivotele abagqatswa egameni lolutsha,22:11:06 19:16:01,"KuGompo, South Africa",['ANC'],0.0,0.4
four former anc youth league leaders failed receive votes reach threshold league currently voting preferred candidates anc top six paul mashatile come candidate uncontested deliberations,22:11:06 18:54:23,south africa,['ANC'],0.0,0.3
anc democracynotautocracy bullying politicalcapture anc adopted bullying tactic election 1990 applies mafia style tactics one thing mind enriching 3 taxed stupid,22:11:06 12:28:09,"Pretoria, South Africa","['ANC', 'DemocracyNotAutocracy', 'bullying', 'politicalcapture']",-0.7999999999999999,1.0
warned ukuthi point ifp mess prospects kzn takeover 2024 sneaky anclike shit election struggle either bring enough voter base win floating anc voters ifp problem,22:11:03 09:40:23,"Umlazi, South Africa","['IFP', 'ANC']",-0.075,0.575
bonani 1st voting anc 2nd immediate community pull 3rd political elite need go teach skills give handouts something teach man fish,22:11:03 09:06:42,South Africa,['ANC'],0.0,0.03333333333333333
possible al metros supposed rerun elections especialy since people spoken ballots paper gatvol anc govern citiesnow anc wants impose us throguh backdooreff cn much better corrupt syndicate anc,22:11:03 07:37:48,"Centurion, 🇿🇦","['ANC', 'ANC', 'EFF', 'ANC']",0.04999999999999999,0.65
results byelection 2nd november kzn ethekwini ward 10 kloof da 948 1577 anc 351 189 abc 12 117 ifp 026 045 eff 024 17 caelee laing elected councillor 311 voter turnout,22:11:03 07:14:21,"Pretoria, South Africa","['DA', 'ANC', 'ABC', 'IFP', 'EFF']",0.0,0.0
smalema eff amalgamate anc members anc going vote malema president country bring pass resolution anc,22:11:02 16:54:58,South Africa,"['EFF', 'ANC']",0.0,0.0
savoters withhold vote anc political ideological allies well since anc simply form politicalcoalition eff atm udm patrioticalliance etc order stay power,22:11:02 16:49:59,"Cape Town, South Africa","['SAVoters', 'ANC', 'PoliticalCoalition', 'EFF', 'ATM', 'UDM', 'PatrioticAlliance']",0.0,0.2285714285714286
go bolela nnete anc needs voted power good le shenne allowing kleptocrat mess beautiful land sies,22:11:02 12:27:33,"Moletjie,Midrand,South Africa",['ANC'],0.4583333333333333,0.5916666666666667
want fix cityofjoburg 1 stuff 2 dont vote anc eff 3 convince neighbours voetsekanc voetsekeff,22:11:02 11:00:01,South Africa,"['CityOfJoburg', 'ANC', 'EFF', 'VoetsekANC', 'VoetsekEFF']",0.0,0.0
things continue get worse voters choose punish anc voting parties simply incentive improve,22:11:02 08:45:18,South Africa,['ANC'],-0.2,0.47857142857142854
candidate list byelection 2nd november kzn ethekwini ward 10 kloof da caelee laing anc thabile zulu eff senzo mtembu ifp louisa smal abc philani mavundla 2021 party results 7903 54 194 071 003,22:11:01 08:28:41,"Pretoria, South Africa","['DA', 'ANC', 'EFF', 'IFP', 'ABC']",0.0,0.0
maepa absolute nonsense soweto arrears scrapped every five years anc election time anything changed every scrapping instead soweto residents go bling expensive alcohol outshine,22:11:01 08:19:47,"Johannesburg, South Africa",['ANC'],-0.15,0.8
sisulus scraping bottom barrel turn votes favour lacks political muscle subscribers sisulu anc presidentialambition,22:11:01 05:20:10,South Africa,"['Sisulu', 'ANC', 'Presidentialambition']",0.0,0.1
takes filter clean anc periodic era krishnaconsciousness mahabharata solutions tailor made vote lebsie voting lebsie means democratically choosing evolve regular wwelive event attendant,22:10:29 21:44:01,South Africa,"['ANC', 'KrishnaConsciousness', 'Mahabharata', 'SouthAfrica', 'WWELive']",0.18888888888888888,0.3923076923076924
point noon lebsie candidate launches vote democratically elected 90 days every 98 days host democratic election period one presidential term 2029southafrica unite authentic unique africannationalcongress anc,22:10:29 21:39:52,South Africa,"['2029SouthAfrica', 'AfricanNationalCongress', 'ANC']",0.4375,0.875
kaizerchiefs vs anc would stomp anc elections fact bias personal opinion sowetoderby babizebonke ssuperdiski,22:10:29 16:28:39,"Kempton Park, South Africa","['KaizerChiefs', 'ANC', 'Sowetoderby', 'babizebonke', 'ssuperdiski']",0.0,0.3
tired anc cant opposition party understand first place anc loses metros party must really trust current oppositions party seems suffer amnesia voted,22:10:28 10:27:11,"Centurion, 🇿🇦","['ANC', 'ANC']",-0.05,0.3466666666666667
wjat idiot enforcing entitlemrnt non payment blacks official policy corrupt anc buy votesstoppayingtax,22:10:28 04:24:46,"Pietermaritzburg, South Africa","['anc', 'stoppayingtax']",-0.65,0.9
results byelection ec king sabata dalindyebo ward 07 27th october anc 7391 1759 eff 1944 910 isanco 403 318 udm 263 1579 siphokazi madyum elected turnout terrible 167 turnout anc 422 votes,22:10:27 20:09:54,"Pretoria, South Africa","['ANC', 'EFF', 'ISANCO', 'UDM']",-1.0,1.0
spoor vote anc foreigners rights wake,22:10:27 17:54:11,Alberton,['ANC'],0.0,0.0
still going vote anc eff,22:10:27 16:17:35,johannesburg,"['anc', 'eff']",0.0,0.0
deserve chanceimprove lives johannesburg residentsfor past 28 years anc government nothing getting better instate going backwardsthey scrap etolls soon election phalaphalafarmgate,22:10:27 15:34:15,"Centurion, 🇿🇦","['ANC', 'PhalaPhalaFarmGate']",0.125,0.375
press love attitude anc ministerhe care voteslet suffer,22:10:27 11:31:53,South Africa,['ANC'],0.5,0.6
2024election vote southafricaelection2024 anc eff actionsa da da,22:10:27 07:12:08,"Johannesburg, South Africa","['SouthAfrica', '2024election', 'Vote', 'SouthAfricaElection2024', 'ANC', 'EFF', 'ActionSA', 'DA']",0.0,0.0
absolutely vote small independent party vote anc eff ive seen againno logic voting small independents,22:10:26 19:55:25,"Johannesburg, South Africa","['ANC', 'EFF']",-0.075,0.45625000000000004
voting queue change countrys current state anything else beside null void progress nation joke 30 years circle doom terrorists malema anc,22:10:26 19:35:05,South Africa,"['Terrorists', 'malema', 'ANC', 'SouthAfrica']",0.0,0.4
helen assume aware us vote da know anc must opposition however da still long go show viable alternative,22:10:26 18:29:22,Johannesburg,"['ANC', 'DA']",0.1,0.325
anc reallly wishes reclaim metros back doors since ddnt vote,22:10:26 17:33:26,"Centurion, 🇿🇦",['ANC'],0.0,0.0
beware democrats clear thinking republicans vote r magats soon join ranks banana republic south africa flip follow anc government called world order autocrats,22:10:26 12:16:08,"Durban, South Africa",['ANC'],0.10000000000000002,0.3833333333333333
please request use words like rule commenting anc votenoconfidence ekurhuleni leave,22:10:26 11:50:54,"Johannesburg, South Africa","['anc', 'voteNoconfidence']",0.0,0.0
december conference iq level especially parliament vote cyrilramaphosa second term back benchers unemployed coz anc shed parliament seats choice take bribe loose 5 years parliament income,22:10:26 11:06:54,"Durban, South Africa","['CyrilRamaphosa', 'ANC']",-0.019230769230769232,0.3173076923076923
mphophalatse anc anc da ekurhuleni voteofnoconfidence helenzille realnewsformobile theroadto2024,22:10:26 11:02:08,"Linden, Johannesburg","['mphophalatse', 'ANC', 'ANC', 'DA', 'Ekurhuleni', 'VoteOfNoConfidence', 'HelenZille', 'RealNewsForMobile', 'TheRoadTo2024']",0.0,0.0
dear dont guys allow multi party coalitions work gauteng sakeresidents dear accept opposition voters preferred anc theyll voted u power still anc rules wont services,22:10:26 05:52:26,"Pretoria, South Africa","['gauteng', 'ANC', 'power']",0.0,0.0
even anc brings jesus christ uqobo lwakhe lead theres im voting anc,22:10:25 20:30:17,Johannesburg,"['ANC', 'ANC']",0.0,0.0
agreed becoming clearer electoralreform along end cadredeployment well voting anc crucial sas development 1st 2 achieved theyre perceived ancs interests dont know,22:10:25 13:10:44,"Cape Town, South Africa","['ElectoralReform', 'CadreDeployment', 'ANC']",0.225,0.925
like smaller parties stop fighting amongst gain ground opposition failed anc need start building bridges 2024election gonna work together excluding eff da actionsa,22:10:25 08:41:07,"Cape Town, South Africa","['ANC', '2024election', 'EFF', 'DA', 'ActionSA']",-0.25,0.4
reason would ever hope vote anc somebody like lindiwesisulu become leader reverend allan boesak,22:10:24 14:44:00,"Cape Town, South Africa","['ANC', 'LindiweSisulu']",0.0,0.0
candidates upcoming byelection held ec king sabata dalindyebo ward 07 anc siphokazi madyum udm siphulaphule gqobo eff lockington majokweni isanco sandile bimbi 2021 results 5632 1842 1034 085,22:10:24 13:59:38,"Pretoria, South Africa","['ANC', 'UDM', 'EFF', 'ISANCO']",0.0,0.0
anc kzn large durban particular used gem optimistic hope inclusive development nonracial societal ethos voters f believed lies anc free stuff problack development buka manje kubi la,22:10:24 06:25:23,"Umlazi, South Africa","['ANC', 'Durban', 'ANC']",0.26031746031746034,0.5206349206349207
realise problem anc afraid change would rather see country fall apart nothing better known devil voting party makes part problem familymeeting anc cyrilramaphosa,22:10:24 02:38:49,"Johannesburg , South Africa","['familymeeting', 'ANC', 'cyrilramaphosa']",-0.04999999999999999,0.7
traitor presidency modern democratic history honourable anc deceived modern times individual crusade belong vast sums wealth traitor pres ramaphosa like fmr pres zuma retweet vote,22:10:23 23:54:35,South Africa,"['SouthAfrica', 'Honourable', 'ANC', 'Traitor', 'Ramaphosa', 'Pres', 'Zuma']",0.1,0.5
cr2w fine second term remember anc president president south africa come 2024 elections therefore anc start renovating luthulihouse president members parliament make ruling party,22:10:23 21:56:11,"Johannesburg, South Africa","['ANC', 'LuthuliHouse']",0.20833333333333334,0.25
