Text,Datetime,Location,Hashtags,polarity,subjectivity
anc abused parliament aftr elections,14:12:08 17:10:15,Cape Town,"['ANC', 'SouthAfrica']",0.0,0.0
anc abused parliament elections das maimane,14:12:08 13:45:18,South Africa,"['ANC', 'DA']",0.0,0.0
anc abused parliament elections maimane times live,14:12:08 11:58:54,South Africa,['ANC'],0.13636363636363635,0.5
loadshedding proves party handed blank cheque govern voters abuse gullibility zuma anc shafting boy,14:12:08 10:23:38,"Umlazi, South Africa","['loadshedding', 'Zuma', 'ANC']",0.15,0.0
things funnier watching staunch anc supporters moan eskoms loadshedding like think voting,14:12:07 19:19:12,South Africa,"['ANC', 'Eskom', 'loadshedding']",0.0,0.0
things funnier watching staunch anc supporters moan eskoms loadshedding like think voting,14:12:07 18:53:41,"Umlazi, South Africa","['ANC', 'Eskom', 'loadshedding']",0.0,0.0
apartheid era till believe anc long south africans trust n vote anc ill blame ppl like,14:12:07 17:14:26,"Pongola, South Africa",['ANC'],-0.275,0.7
dont vote ancdoing prop raft crooked cadre tenderpreneurs political elites born right surnames,14:12:07 09:02:57,"Umlazi, South Africa",['ANC'],0.09523809523809523,0.24523809523809526
fav elections2014 anc 102yrs,14:12:07 07:03:40,South Africa ,"['fav', 'elections2014', 'anc', '102yrs']",0.0,0.0
anc parasite eating away country time time get voted back power never understand,14:12:06 15:43:13,"Johannesburg, South Africa",['ANC'],0.0,0.0
disgrace electricity tonight whole country vote anc zuma must explain,14:12:06 11:31:43,"Johannesburg, South Africa",['ANC'],0.2,0.4
like loadshedding keep voting anc zuma loves comfy house backup power,14:12:06 10:35:54,South Africa,"['ANC', 'zuma']",0.0,0.0
stupid people vote anc next time vote true power people,14:12:06 10:20:23,"Johannesburg, South Africa",['ANC'],-0.15,0.5499999999999999
viva loadshedding viva viva eskom viva viva anc viva sadly mismanagement inc unlikely 2 ever cost anc election,14:12:06 09:03:53,South Africa,"['loadshedding', 'Eskom', 'ANC']",-0.5,0.75
voted anc dont complain eskom loadshedding vote da,14:12:06 09:02:49,South Africa,"['Anc', 'eskom', 'LoadShedding', 'da']",0.0,0.0
3 weeks ago anc took 26 32 elections,14:12:06 08:38:28,Pretoria,['ANC'],0.0,0.0
damage done 15yrs ago everything anc fault feinstein vote anc loadshedding,14:12:06 07:31:00,South Africa,"['ANC', 'LoadShedding']",0.0,0.0
anc eskom farm workers get abused keep quiet opposition see vote,14:12:06 07:23:52,Pretoria,"['ANC', 'ESKOM']",0.0,0.3333333333333333
love loadshedding vote anc,14:12:06 07:19:54,South Africa,"['LoadShedding', 'ANC']",0.5,0.6
b sorted 6 months election forget vicious circle starts anc eskom,14:12:06 06:58:49,South Africa,"['ANC', 'ESKOM']",-1.0,1.0
anc eskom agree maam must loadshed voting,14:12:06 06:33:22,Cape Town,"['Anc', 'Eskom']",0.0,0.0
wish thank daft anc voters inconveniencing time anc eskom,14:12:06 06:24:54,Johannesburg,"['ANC', 'Eskom']",0.0,0.0
need vote simple solution always miss rt must revolt useless anc eskom,14:12:06 06:09:20,Cape Town,"['ANC', 'ESKOM']",-0.25,0.2785714285714286
dear anc voter excusing ends even cant claim enjoy loadshedding either zuma co lose power continue,14:12:06 03:51:07,"Umlazi, South Africa","['ANC', 'LoadShedding', 'Zuma']",0.4,0.5
nam time voted anc must fix rt sitting dark,14:12:05 18:42:25,South Africa,['ANC'],-0.15,0.4
wondering whether anc going hand food parcels festive season meant elections tfb f4f,14:12:03 11:00:29,"Pretoria, South Africa.","['anc', 'TFB', 'F4F']",0.0,0.0
im politician jftr anc members one reasons didnt vote give power juju already,14:12:02 19:33:07,"Hexrivervalley, South Africa","['ANC', 'JuJu']",0.0,0.0
youd expected see anc launch generationslegacy partnership reserved election time,14:12:02 12:44:49,"Umlazi, South Africa","['ANC', 'GenerationsLegacy']",-0.1,0.4
one promise broken cf anc response idasa party funding request dismissiveness voter,14:12:01 14:24:59,Johannesburg,['ANC'],-0.4,0.4
least wont live 2 c anc lose next electionthis orgnisation betrayed idealistic founders amployal members die already,14:12:01 07:10:43,Vereeniging,['ANC'],-0.05454545454545454,0.3
16 fired generations actors campaigning anc electionshaving friends high places didnt help,14:12:01 06:20:46,"Rondebosch, Western Cape, SA",['ANC'],0.16,0.5399999999999999
nothing dangerous ancsacp bratpack one none zero elections dictates south africa governed,14:12:01 06:10:40,"Pretoria, South Africa","['ANC', 'SACP']",-0.6,0.9
done anc wont lose voters anyone care opinion eskom da,14:11:30 08:00:02,SA,"['anc', 'Eskom', 'SA', 'DA']",0.0,0.0
peeps voting anc 20yearsofemptypromises overwhelmingly voted swapo abusing,14:11:30 06:26:21,Cape Town,"['ANC', '20yearsofemptypromises']",0.5,1.0
broke anc taken election posters vaalwater limpopo yet,14:11:29 11:23:59,"Pretoria, South Africa",['ANC'],0.0,0.0
ancthe 2014 elections hard fought battle expensive one,14:11:29 07:56:43,South Africa,['ANC'],-0.39583333333333337,0.6208333333333333
anc 2014 elections hard fought battle expensive one costing movement r429m,14:11:29 07:36:58,"Johannesburg, South Africa",['ANC'],-0.39583333333333337,0.6208333333333333
leaked broke anc spent r429m election,14:11:28 20:24:51,South Africa ,"['ANC', 'RSA', 'SouthAfrica']",-0.1,0.1
anc gave 5 million tshirts spent nearly r500 million last election voter support dropped 66 62,14:11:28 13:29:07,"Cape Town, South Africa","['ANC', 'SA']",0.0,0.18888888888888888
movement broke well mzansi broke state bloated leaked broke anc spent r429m election,14:11:28 11:02:43,South Africa,"['Mzansi', 'ANC']",-0.1,0.1
anc spent r429m election mantashe sms think mischief want headline tomorrow mampg,14:11:28 06:39:56,"Johannesburg, South Africa","['ANC', 'Mantashe']",-0.1,0.1
anc spent r118m tshirts last elections exceeding budget r24m 5 times yerrr,14:11:28 06:18:48,"Johannesburg, South Africa",['ANC'],-0.05,0.08333333333333334
chaotic behavior wont change things parliamentanc leading party period parties prove worthy 4 votes,14:11:28 06:10:55,Lenasia,['ANC'],0.3333333333333333,1.0
leaked report reveals cost tell good story broke anc blows r429m elections mampg todaymampgafricas best read,14:11:28 05:36:02,"Johannesburg, South Africa",['ANC'],0.85,0.45000000000000007
rhangani eff argues voted 1mil ppl forget anc also voted 10mil ppldemocracy also majority rule,14:11:28 04:38:40,Johannesburg,"['EFF', 'ANC']",0.0,0.0
splash money dont broke anc blows r429m elections mampg today,14:11:28 04:08:22,"Johannesburg, South Africa",['ANC'],0.0,0.0
news 12 eff mps officially suspended splash money dont broke anc blows r429m elections mampg tomorrow,14:11:27 19:19:11,"Johannesburg, South Africa","['EFF', 'ANC']",0.0,0.0
anc mps eating government money nostril pipes sleepless night malema nightmare see voted eff,14:11:27 18:58:09, South Africa,"['ANC', 'EFF']",0.0,0.0
anc went sleep voting happened opposition chairperson wants voting repeat,14:11:27 18:49:33,johannesburg,['ANC'],0.2,0.1
yhooo tshinoli dizzy hahahaha place hawu anc mps voted know poo luthuli iyhoo,14:11:27 18:48:34,"Port Elizabeth, South Africa","['Tshinoli', 'ANC']",0.2,0.5
anc bench voted accident quite inline electorate voting accident parliament,14:11:27 18:47:10,"South Africa, Johannesburg","['ANC', 'Parliament']",0.0,0.0
entire anc bench vote accident consequence choir,14:11:27 18:45:53,"South Africa, Johannesburg",['ANC'],0.0,0.625
kwaaaaaa anc voted da amenendment kwaaaa parly,14:11:27 18:45:23,"Port Elizabeth, South Africa","['ANC', 'DA', 'Parly']",0.0,0.0
splash money dont broke anc blows r429m elections mampg tomorrow,14:11:27 17:35:09,"Johannesburg, South Africa",['ANC'],0.0,0.0
splash money dont broke anc blows r429m elections mampg tomorrow,14:11:27 17:30:11,"Johannesburg, South Africa",['ANC'],0.0,0.0
nanko ke u godi votes dude people voting apc aware voting anc parly,14:11:27 16:48:19,"Port Elizabeth, South Africa","['Godi', 'APC', 'ANC', 'Parly']",0.25,0.25
reporter yes brainwash illiterate even cyril dont vote anc boere backtshirtgovernment,14:11:27 16:24:11,"Kakamas, South Africa","['ANC', 'tshirtgovernment']",0.0,0.0
anc parly made decision vote thats explanation rise,14:11:27 16:10:01,"Port Elizabeth, South Africa","['ANC', 'Parly']",0.0,0.0
byelection victories humble anc,14:11:27 15:11:06,South Africa,"['ANC', 'SouthAfrica']",-0.2,0.4
byelection victories humble anc,14:11:27 15:11:05,Cape Town,"['ANC', 'SouthAfrica']",-0.2,0.4
anc wins majority byelections,14:11:27 14:40:24,South Africa,"['ANC', 'SouthAfrica']",0.3,0.2
anc wins majority byelections,14:11:27 14:40:24,Cape Town,"['ANC', 'SouthAfrica']",0.3,0.2
press anc stops taking voters granted,14:11:27 13:47:00,South Africa,['ANC'],0.0,0.0
chabane anc tells wonders make next elections wants rule country,14:11:27 13:23:24,Cape Town,"['Chabane', 'ANC']",0.1,0.05
anc thanks mooi mpofana voters,14:11:27 12:03:24,"Johannesburg, South Africa",['ANC'],0.2,0.2
anc thanks mooi mpofana municipality voters,14:11:27 11:05:40,South Africa,['ANC'],0.2,0.2
went vote yesterday made vote count anc,14:11:27 08:04:00,"Mahikeng, South Africa",['ANC'],0.0,0.0
go explain poor hungry homeless jobless anc voters zuma,14:11:27 07:24:50,Johannesburg,"['ANC', 'Zuma']",-0.4,0.6
welcome anc power would vote stop corruption cadres power selfish start delivering,14:11:27 07:20:57,South Africa,['ANC'],0.15000000000000002,0.95
limpopo voters barely given eff lukewarm endorsement brand postmay politics anc convincingly wins wards,14:11:27 06:19:12,"Cape Town, South Africa","['EFF', 'ANC']",0.175,0.15000000000000002
anc hold firm key limpopo local govt byelections limited slippage eff,14:11:27 06:13:18,"Cape Town, South Africa","['ANC', 'EFF']",-0.06785714285714287,0.3857142857142857
annecdotes anc members voting didnt like necs decision propose zuma president,14:11:26 11:32:02,"Pretoria, South Africa",['ANC'],0.0,0.0
municipalities struggle lose service tax money wasted anc going lose lots votes,14:11:26 09:39:04,South Africa,['ANC'],-0.2,0.0
anc voters struggling put food tables mpuma legislature spends r10m,14:11:25 11:45:59,Cape Town,['ANC'],0.0,0.0
im saying vote anc voting zuma simple,14:11:25 08:57:57,"Cape Town, South Africa","['anc', 'Zuma']",0.0,0.35714285714285715
ancyl dysfunctional years anc disbands youthleague task team postpones elections,14:11:25 08:26:56,South Africa,"['ANCYL', 'ANC', 'youthleague']",0.0,0.0
someone develop app software loadshedding eskom applied anc voters tina thats 62 loadshed,14:11:24 13:47:20,South Africa ,"['loadshedding', 'Eskom', 'ANC', 'Tina']",0.0,0.0
anc mantashe says congratulated bdp botswana frelimo mozambique winning elections country,14:11:24 12:24:48,"Johannesburg, South Africa",['ANC'],0.5,0.75
cant throw stones zuma focusing ppl capetown voted premier anc da,14:11:24 11:32:50,"Cape Town, South Africa","['Zuma', 'Capetown', 'ANC', 'DA']",0.0,0.0
da leader hellen zille says foresees disintegration anc run 2016 local government elections news,14:11:24 06:02:43,"Midrand, South Africa","['ANC', 'NEWS']",0.0,0.0
da leader hellen zille says foresees disintegration anc run 2016 local government elections sabcnews,14:11:24 04:15:05,"Durban, South Africa","['DA', 'ANC', 'sabcnews']",0.0,0.0
farouk7 must remember people voted anc dont care issues even zuma told recent election,14:11:23 08:10:12,"Durban, South Africa",['ANC'],0.0,0.25
khampepereport highlighted election strategy anc power principle,14:11:23 06:53:02,"Cape Town, South Africa","['KhampepeReport', 'ANC']",0.0,0.0
khampepereport exposed election strategy anc power cost,14:11:23 06:51:37,"Cape Town, South Africa","['KhampepeReport', 'ANC']",0.0,0.0
khampepereport voters note shameful role anc covering deeply flawed 2002 zimbabwe election,14:11:22 20:18:34,"Cape Town, South Africa","['KhampepeReport', 'ANC', 'Zimbabwe']",-0.5,0.5
want vote put x next anc dont follow back lol,14:11:22 16:41:32,"Cape Town, South Africa",['ANC'],0.26666666666666666,0.2333333333333333
con men con possible revolution democratic failure better word anc failed black voters,14:11:22 15:51:38,"St Lucia Estuary, South Africa",['ANC'],-0.09666666666666668,0.5066666666666666
loadshedding powershedding bitch voted ancwe shud part brics rather anc prcks,14:11:22 10:46:04,South Africa ,"['loadshedding', 'powershedding', 'ANC', 'ANC']",0.0,0.0
go vote anc anothernightwithcandles load shedding aaargh,14:11:21 18:18:41,"Western Cape, South Africa","['Vote', 'ANC', 'AnotherNightwithCandles']",0.0,0.0
hahaha anc ever recognise opposition anc ever recognise poor voted 4 first instance,14:11:21 07:04:46,South Africa,"['ANC', 'ANC']",0.016666666666666663,0.4444444444444444
time anc start recognising people voted 4 time 4 massive revolution 2 flatten nkandla,14:11:21 04:05:04,South Africa,"['ANC', 'Nkandla']",0.0,1.0
ready go parly anc deploy next election starting party deputy chair,14:11:20 21:58:48,"Johannesburg, South Africa","['Parly', 'ANC']",0.06666666666666667,0.19999999999999998
anc parliament wants amend amendment censure motion zuma thats allready voted,14:11:19 20:32:01,"Cape Town, South Africa","['ANC', 'Parliament', 'Zuma']",0.2,0.1
anc voted speakers instructions cut catering budget r5mil payforfood disgusting anc,14:11:18 12:58:03,South Africa,"['PayForFood', 'ANC']",-1.0,1.0
khampepereport confirmed ancgovt covered findings 2002zimelections know anc behave start losing,14:11:17 10:30:52,"Cape Town, South Africa","['KhampepeReport', 'ANCGovt', '2002ZimElections', 'ANC']",0.4,1.0
expressing displeasure anc may even people voted 6 months ago,14:11:17 09:01:48,"Cape Town, South Africa",['ANC'],0.0,0.0
vote anc inexcusable nowthis laughing matter contrary zumas gigglerinchief status need liberty,14:11:17 08:31:14,"Umlazi, South Africa","['ANC', 'Zuma', 'liberty']",0.0,0.0
musi maimane expect members anc act solely based whim would voted without party,14:11:17 07:25:35,"Daveyton, South Africa","['Musi', 'ANC']",0.0,0.0
south africa corporate taken governments lead ignored voterscustomers times changing thoughcellc anc,14:11:17 07:17:13,South Africa,['ANC'],0.0,0.0
zuma supporters see folly voting anc face guns thatve aimed opposition mps poor marikana,14:11:16 21:08:41,"Umlazi, South Africa","['Zuma', 'ANC', 'Marikana']",-0.4,0.6
crime anc use majority parliament ppl voted thats democracy ann7,14:11:16 18:57:06,South Africa,"['ANC', 'ANN7']",0.0,0.0
arent citizens laying probs door anc else vote brokenpromises corrupt,14:11:16 18:00:28,South Africa,"['ANC', 'brokenpromises', 'corrupt']",-0.5,1.0
omg yawn rt problem people work living overwhelmed people vote anc living,14:11:15 10:59:46,South Africa,['ANC'],0.0,0.0
rt problem people work living overwhelmed people vote anc living,14:11:15 10:58:23,South Africa,['ANC'],0.0,0.0
everyone knew 14yrs morally bankrupt anc presidents khampepe zims 2002 elections free fair,14:11:15 08:06:17,South Africa,"['ANC', 'Khampepe', 'Zim']",0.3666666666666667,0.65
lyn see many years anc rulenot leadership 20 years corruption moved 1 voting,14:11:14 17:59:09,Pretoria,['ANC'],0.5,0.5
use forcepolice parly unconstitutional unjustified abuse power anc lose election,14:11:14 15:08:42,"Polokwane, South Africa",['ANC'],0.0,0.0
anc responds violence losing debate parliament happen lose election,14:11:14 14:25:45,Cape Town,"['ANC', 'Parliament']",0.0,0.0
smiling ear ear seeing eff continues reprimand anc happy vote wasnt waste asijiki parliament paybackthemoney,14:11:14 07:15:29,"South Africa, Pretoria","['EFF', 'ANC', 'asijiki', 'parliament', 'PayBackTheMoney']",0.30000000000000004,0.5
legend anc defeated election refuse 2go like mugabe dont respect democracy constitut,14:11:14 07:11:55,Vereeniging,"['ANC', 'Mugabe']",0.0,0.0
country failing us expect votes da end da aowaaa made fools straight anc zuma,14:11:14 07:03:12,"Johannesburg, South Africa","['ANC', 'Zuma']",0.2,0.4
blame selves emberasing us regret voting first place leave mbete anc eff da politics,14:11:14 06:31:34,"Pretoria, South Africa","['mbete', 'anc', 'eff', 'da', 'southafrica', 'politics']",0.25,0.3333333333333333
happened parliament 13 nov proves anc dont know democracy wont accept election defeat,14:11:14 06:01:46,Vereeniging,"['parliament', 'ANC']",0.3,0.0
caucus discipline meant anc caucus found rock hard place nkandla vote last night,14:11:14 05:38:57,"Cape Town, South Africa","['ANC', 'NKandla']",-0.14583333333333334,0.30416666666666664
2 afraid message falls deaf ears feeding time anc stuff poor vote,14:11:14 05:34:48,South Africa,['ANC'],-0.5,0.75
da eff voters got nothing loosebut poor black anc voters arethey voted crooks asijiki,14:11:14 05:16:44,"Soweto, South Africa","['DA', 'EFF', 'ANC', 'Asijiki']",-0.2833333333333333,0.5166666666666666
south africans voted jz face anc south africa deserve everything anc,14:11:14 04:43:06,"East London, South Africa","['JZ', 'ANC', 'ANC']",0.0,0.0
dont hold breath anc dont care public opinion voters keep voting stupidity rules,14:11:14 04:36:36,South Africa,['ANC'],-0.3,0.5333333333333333
anc members parliament voted accept anc authored nkandlareport finds pres zuma dont paybackthemoney,14:11:13 22:56:29,"Cape Town, South Africa","['ANC', 'NkandlaReport', 'Zuma', 'PayBackTheMoney']",0.0,0.0
anc mightve numbers nkandla vote issue likely haunt well beyond saparliament,14:11:13 19:32:34,"Cape Town, South Africa","['ANC', 'Nkandla', 'SAParliament']",0.0,1.0
thats crime humanity corruption legal saanc rig votes 2016 shares iec,14:11:13 19:19:29,Johannesburg,['ANC'],0.2,0.2
circus parliament today anc totally lost plot south africa needs wake quickly vote,14:11:13 18:23:23,"East London, South Africa",['ANC'],0.16666666666666666,0.625
mps go parliament opposition rather leaders taking forwardthe youth cant vote 4 suchancdaeff,14:11:13 18:18:42,"Midrand, South Africa","['ANC', 'DA', 'EFF']",0.0,0.0
hell happening parliament degrading puts country map joke disgusting stop voting anc,14:11:13 17:06:17,"Johannesburg, South Africa","['hell', 'parliament', 'joke', 'disgusting', 'Anc']",-1.0,1.0
anc laughing faces give vote abuse,14:11:13 16:32:50,South Africa,['ANC'],0.0,0.0
anc childish objecting everything thank god didnt vote 10 year olds represent,14:11:13 15:26:56,Centurion,['ANC'],-0.2,0.8
never vote anc long zuma still president,14:11:12 17:40:00,MIDRAND,"['ANC', 'ZUMA']",-0.05,0.4
allowed change minds though hoping voters also change minds malema eff zuma anc,14:11:12 12:42:34,South Africa,"['Malema', 'EFF', 'Zuma', 'ANC']",0.0,0.0
sans need held account afterall anc eff politicians arent product creationthey voted,14:11:12 12:25:12,"Umlazi, South Africa","['ANC', 'EFF']",0.0,0.0
ultimately zuma product sans voted anc feels entitled continue dubious ways poor show,14:11:12 07:10:57,"Umlazi, South Africa","['Zuma', 'ANC']",-0.2,0.8
numsa wanted anc fail elections anyway gud riddance,14:11:12 02:34:18,south africa,['anc'],-0.5,0.29999999999999993
think anc mps parliament serving interest voters selfish interests ie secure jobs,14:11:11 16:22:53,Johannesburg,['ANC'],-0.04999999999999999,0.8
guess champagne ice breakup cosatu anc simple arithmetic alienation possibly 2 million voters,14:11:11 14:48:54,"Johannesburg, South Africa","['Cosatu', 'ANC']",0.0,0.6785714285714286
since 94 people complaining anc yet every election thay vote thats im talking,14:11:11 06:22:22,"Durban, South Africa",['ANC'],0.0,0.0
1994 elections pre party mogul brother jamesonsa gentlemen shouldivoteda anc,14:11:10 19:30:55,Johannesburg,"['JamesonSA', 'Gentlemen', 'ShouldIvoteDA', 'ANC']",0.0,0.0
maybe maybe current fighting within anc numsa cosatu rid voters visceral fear change,14:11:10 19:09:45,South Africa,"['ANC', 'NUMSA', 'Cosatu']",0.0,0.4
anc calling numsa expulsion tragic farce know thtnow election individuals progrm continues,14:11:10 17:30:55,"KBY, South Africa",['ANC'],-0.575,0.625
blame ruling party mfo anc loose many municipality next local elections numsa unite,14:11:10 15:44:25,Pretoria,"['ANC', 'NUMSA']",0.10576923076923077,0.1923076923076923
mantashe says numsa decided support anc elections thousands metalworkers ancs machinery cosatu,14:11:10 12:50:04,Midrand,"['NUMSA', 'ANC', 'Cosatu']",0.0,0.0
mantashe says although numsa decided support anc elections thousands metalworkers anc machinery,14:11:10 12:47:43,South Africa,"['NUMSA', 'ANC']",0.0,0.0
numsa anc mantashe numsa cosatu block vote within anc vote anc individually,14:11:10 12:46:39,"Johannesburg, South Africa","['NUMSA', 'ANC']",0.0,0.4
debatable whether numsa members vote party anc future party loyalty runs deep,14:11:10 12:26:53,"Cape Town, South Africa","['Numsa', 'ANC']",0.0,0.2625
divide middle cosatu sign rank files discontent anc better wake eff voted,14:11:10 11:38:52,South Africa,"['COSATU', 'ANC', 'EFF']",-0.10000000000000002,0.4666666666666666
anc voters well done ancout,14:11:10 11:06:48,Cape Town,"['ANC', 'ANCOUT']",0.0,0.0
2016 local government elections resemble icu anctheyll need oxygen surviveits defragmenting,14:11:10 11:04:22,South Africa,['ANC'],0.0,0.0
form party numsa give hell theyll come running need votes anc best ignore,14:11:09 13:51:43,Johannesburg,"['NUMSA', 'ANC']",1.0,0.3
numsa couldnt support anc general election due concerns anc neo liberal economic policy,14:11:09 10:46:32,"Soweto, Johannesburg","['NUMSA', 'ANC', 'ANC']",0.04166666666666668,0.35833333333333334
anc lose numsa votes eff news,14:11:09 10:26:08,South Africa,"['ANC', 'NUMSA', 'EFF']",0.0,0.0
anc da announce byelection candidate lists iec anc da elections,14:11:09 10:00:30,"Durban, South Africa","['iec', 'anc', 'da', 'elections']",0.0,0.0
xcon gwede anc lost numsa fighting policies affecting working class cosatu tool votes,14:11:09 08:31:13,South Africa,"['Gwede', 'ANC', 'NUMSA', 'COSATU']",0.0,0.0
friend vote anc friend rt friends dont let friends vote anc,14:11:08 17:32:51,Johannesburg,"['ANC', 'ANC']",0.0,0.0
effect anc voter base numsa launch united front,14:11:08 15:02:02,Pretoria,"['ANC', 'Numsa', 'SouthAfrica']",-0.8,1.0
current staunch eff vehemently antianc supporters vote 2009 policiespeople criticise power,14:11:08 10:58:41,South Africa,"['EFF', 'ANC']",0.0,0.4
lejweleputswa anc chair branches articulating service delivery successes 300ppl employed elections sabcnews,14:11:08 10:51:08,"Johannesburg, South Africa","['ANC', 'sabcnews']",0.0,0.0
anc state owned enterprises failing eff calls nationalisation da talks privatisation move vote,14:11:08 10:16:43,South Africa,"['ANC', 'EFF', 'DA']",0.0,0.0
anc youth elections heat,14:11:08 09:30:29,"East London, South Africa",['ANC'],0.0,0.0
cosata anc numsa back next important election dont stress numsa want votes,14:11:08 08:51:07,Johannesburg,"['cosata', 'ANC', 'NUMSA']",0.13333333333333333,0.3333333333333333
numsa didnt support anc elections still anc got overwhelming support 62 good bye selfexpelled numsa,14:11:08 07:38:00,South Africa,"['Numsa', 'ANC', 'ANC', 'Numsa']",0.6,0.8
expulsion numsa result loss votes anc,14:11:08 05:09:26,Bloemfontein,"['Numsa', 'ANC']",0.0,0.0
numsa believe put workers first anc great battle toward 2016 election,14:11:08 04:09:38,"Tembisa, South Africa","['numsa', 'anc']",0.525,0.5416666666666666
true movie sarafina played b4 elections anc would win large margin vote da nxa,14:11:07 20:57:17,"Johannesburg, South Africa.","['Sarafina', 'ANC']",0.4547619047619047,0.4928571428571429
da despite loss nelsonmandelabay byelections show anc support plummeting portelizabeth easterncape,14:11:07 08:03:53,"Port Elizabeth, South Africa","['DA', 'NelsonMandelaBay', 'ANC', 'portelizabeth', 'easterncape', 'SA']",0.0,0.0
da despite loss nelson mandela bay byelections show anc support plummetinggtgtgt easterncape,14:11:07 08:02:32,"Port Elizabeth, South Africa","['DA', 'ANC', 'SouthAfrica', 'EasternCape']",0.0,0.0
